median,ID
3.0,a1
6.0,a3
6.0,a5
9.0,a11
6.0,a13
2.0,a16
4.0,a19
5.0,a22
5.0,a26
4.0,a29
7.0,a31
4.0,a35
8.0,a37
4.0,a39
3.0,a40
3.0,a43
8.0,a45
2.0,a47
12.0,a51
8.0,a55
7.0,a56
4.0,a59
11.0,a60
13.0,a61
5.0,a69
5.0,a73
9.0,a76
6.0,a77
5.0,a80
3.0,a85
3.0,a87
9.0,a89
3.0,a93
6.0,a99
4.0,a100
7.0,a102
9.0,a106
4.0,a108
7.0,a109
3.0,a114
2.0,a116
3.0,a118
5.0,a120
4.0,a128
6.0,a131
1.0,a137
3.0,a142
6.0,a149
5.0,a152
5.0,a153
4.0,a156
3.0,a158
10.0,a161
3.0,a164
4.0,a172
9.0,a174
7.0,a177
5.0,a178
5.0,a180
3.0,a185
0.0,a187
8.0,a191
0.0,a195
4.0,a198
5.0,a201
2.0,a205
8.0,a209
8.0,a212
6.0,a215
4.0,a218
4.0,a220
1.0,a222
6.0,a223
5.0,a226
4.0,a229
7.0,a231
7.0,a233
5.0,a235
4.0,a239
6.0,a240
0.0,T1
1.0,T14
0.0,T16
1.0,T18
0.0,E01_01
1.0,E01_03
1.0,E01_05
3.0,E01_09
0.0,E10_01
1.0,E12_01
2.0,E12_06
2.0,E21_01
2.0,E21_03
3.0,E21_04
5.0,E22_12
5.0,E22_16
2.0,E24_02
0.0,E24_04
3.0,E24_05
1.0,E26_11
0.0,E01_103
1.0,E01_12
0.0,E01_14
2.0,E02_128
3.0,E22_01
2.0,E22_104
3.0,E22_117
6.0,E26_104
3.0,E26_115
2.0,E35_105
7.0,h0
3.0,h1
2.0,h2
3.0,h3
5.0,h4
3.5,h5
3.0,h6
4.0,h7
4.0,h8
5.0,h9
3.0,h10
5.0,h11
4.0,h12
4.0,h13
6.0,h14
4.0,h15
5.0,h16
6.0,h17
5.0,h18
4.0,h19
5.0,h20
5.0,h21
4.0,h22
5.0,h23
4.0,h24
4.0,h25
5.0,h26
6.0,h27
2.0,h28
5.0,h29
4.0,h30
3.0,h31
2.0,h32
2.0,h33
2.0,h34
4.0,h35
3.0,h36
3.0,h37
4.0,h38
6.0,h39
5.0,h40
4.0,h41
2.0,h42
4.0,h43
2.0,h44
2.5,h45
3.0,h46
2.0,h47
2.0,h48
3.0,h49
2.0,h50
3.0,h51
5.0,h52
3.0,h53
3.0,h54
5.0,h55
5.0,h56
6.0,h57
3.0,h58
2.0,h59
4.0,h60
4.0,h61
6.0,h62
3.0,h63
6.0,h64
3.0,h65
5.0,h66
4.0,h67
1.0,v1
2.0,v2
2.0,v3
4.0,v4
1.0,v5
2.0,v6
2.5,v7
3.0,v8
2.0,v9
1.0,v10
2.0,v11
3.0,v12
0.0,s13-d21
1.0,s13-d25
1.0,s13-d28
3.0,s13-d31
2.0,s13-d40
2.0,s13-d45
1.0,s13-d48
0.0,s13-d52
4.0,s13-d54
1.0,s14-d26
2.0,s14-d27
1.0,s14-d35
2.0,s14-d43
2.0,s14-d46
3.0,s14-d51
10.0,s15-d26
3.0,s15-d35
5.0,s15-d70
6.0,s17-d42
1.0,s17-d48
1.0,s17-d53
1.0,s17-d55
8.0,s17-d69
3.0,s21-d21
3.0,s21-d23
1.0,s21-d28
1.0,s21-d35
1.0,s21-d39
2.5,s21-d40
2.0,s21-d42
3.0,s21-d43
0.5,s21-d45
2.0,s21-d55
1.0,s22-d25
1.0,s22-d26
2.0,s22-d29
1.0,s22-d34
2.0,s22-d35
2.0,s22-d43
2.0,s22-d46
0.0,s22-d48
2.0,s22-d53
1.0,s22-d55
1.0,s23-d21
1.0,s23-d31
0.0,s23-d34
2.0,s23-d39
0.0,s23-d42
1.0,s23-d45
2.0,s23-d46
1.0,s23-d51
2.0,s23-d54
2.0,s24-d23
1.0,s24-d28
1.0,s24-d34
2.0,s24-d40
2.0,s24-d41
1.0,s24-d48
0.0,s24-d53
1.0,s25-d23
1.0,s25-d35
1.0,s25-d51
1.0,s25-d52
5.0,s25-d69
2.0,s26-d23
12.0,s26-d26
6.0,s26-d69
4.0,s26-d70
2.0,s27-d21
2.0,s27-d29
2.0,s27-d34
1.0,s27-d45
0.0,s27-d50
5.0,s27-d54
4.0,s27-d70
0.0,s28-d25
4.5,s28-d27
11.0,s28-d39
3.0,s28-d46
8.0,s28-d51
0.0,s29-d31
5.0,s29-d39
7.0,s29-d42
1.0,s29-d50
1.0,s29-d52
5.0,s30-d26
2.0,s30-d29
2.0,s30-d40
3.0,s30-d41
5.0,s30-d43
3.0,s30-d52
4.0,s30-d53
2.0,s31-d25
2.0,s31-d28
2.0,s31-d31
6.0,s32-d27
2.0,s32-d52
2.0,s32-d55
6.0,s32-d69
5.0,s32-d70
4.0,s33-d27
2.0,s33-d45
3.0,s33-d50
3.0,s33-d54
5.0,s34-d28
6.0,s34-d34
4.0,s34-d41
7.0,s34-d69
3.0,s35-d40
4.0,s35-d41
2.0,s35-d48
3.0,s35-d55
8.0,s36-d23
2.0,s36-d27
1.5,s36-d31
7.0,s36-d42
7.0,s36-d43
1.0,s36-d50
2.0,s36-d70
3.0,s37-d21
2.0,s37-d25
1.0,s37-d29
4.0,s37-d39
2.0,s37-d46
